defect_id,batch_id,part_id,defect_type,severity,detected_at,detection_method,rework_required,scrap_cost_usd,root_cause
DEF-0000001,BCH-0013570,PRT-0074649,Assembly Fault,Critical,2022-08-23 08:25:11,X-Ray,False,134.03,Environmental
DEF-0000002,BCH-0099608,PRT-0040264,Dimensional Error,Minor,2023-06-18 09:39:13,CMM,True,299.13,Supplier Material
DEF-0000003,BCH-0092114,PRT-0067315,Weld Failure,Minor,2023-02-04 04:11:05,X-Ray,True,122.42,Supplier Material
DEF-0000004,BCH-0051270,PRT-0050031,Surface Crack,Major,2022-09-01 11:22:19,Visual Inspection,False,19.23,Machine Wear
DEF-0000005,BCH-0013420,PRT-0096970,Dimensional Error,Minor,2022-12-31 13:14:53,Ultrasonic,False,533.1,Operator Error
DEF-0000006,BCH-0057650,PRT-0052696,Surface Crack,Minor,2023-05-06 02:55:03,Automated Vision,False,198.18,Machine Wear
DEF-0000007,BCH-0038971,PRT-0000730,Dimensional Error,Major,2022-12-11 20:20:22,Visual Inspection,False,15.27,Supplier Material
DEF-0000008,BCH-0098814,PRT-0017817,Assembly Fault,Minor,2022-01-28 19:38:14,Ultrasonic,True,98.05,Environmental
DEF-0000009,BCH-0028505,PRT-0064708,Weld Failure,Minor,2024-12-21 15:56:46,Visual Inspection,True,50.61,Machine Wear
DEF-0000010,BCH-0089074,PRT-0071101,Dimensional Error,Minor,2023-04-02 20:11:12,Ultrasonic,False,13.9,Environmental
DEF-0000011,BCH-0081280,PRT-0063517,Assembly Fault,Critical,2023-12-10 23:40:49,X-Ray,True,133.91,Process Drift
DEF-0000012,BCH-0092357,PRT-0027347,Assembly Fault,Minor,2023-10-17 05:42:11,Visual Inspection,True,35.9,Process Drift
DEF-0000013,BCH-0040036,PRT-0073128,Calibration Drift,Minor,2022-08-19 00:37:18,CMM,False,85.88,Operator Error
DEF-0000014,BCH-0053303,PRT-0016925,Dimensional Error,Minor,2024-09-15 03:23:23,CMM,True,131.54,Supplier Material
DEF-0000015,BCH-0011613,PRT-0003646,Dimensional Error,Minor,2024-08-20 01:10:22,CMM,True,153.32,Process Drift
DEF-0000016,BCH-0077500,PRT-0046173,Weld Failure,Major,2024-02-24 07:47:08,Automated Vision,False,39.54,Environmental
