machine_id,plant_id,machine_type,model,install_date,last_service_date,status,operational_hours,energy_consumption_kwh,location_zone
MCH-0374,PLT-01,CNC Mill,SIMOTION D,2021-05-02,2023-03-17,Active,33166,108.28,Zone-A
MCH-0409,PLT-07,Lathe,SIMOTION D,2022-12-14,2023-05-07,Idle,49030,15.54,Zone-C
MCH-0355,PLT-05,CNC Mill,SIRIUS 3RW,2019-01-15,2019-03-11,Under Maintenance,32722,34.68,Zone-A
MCH-0186,PLT-05,CNC Mill,SINAMICS G120,2019-03-22,2021-05-19,Active,21670,18.03,Zone-D
MCH-0394,PLT-10,Press,SIMATIC ET200,2019-03-21,2020-01-26,Active,35298,39.62,Zone-C
MCH-0225,PLT-02,Robotic Arm,SIMOTION D,2022-11-27,2023-09-03,Active,49849,91.25,Zone-D
MCH-0462,PLT-09,Lathe,SIMATIC ET200,2017-06-07,2018-02-20,Active,14900,63.11,Zone-A
MCH-0246,PLT-04,Lathe,SINAMICS G120,2018-07-10,2018-12-29,Active,45534,34.52,Zone-B
MCH-0006,PLT-03,CNC Mill,SIRIUS 3RW,2017-10-20,2019-12-13,Active,12352,34.18,Zone-C
MCH-0306,PLT-04,Robotic Arm,SIMATIC ET200,2022-09-05,2023-01-17,Active,46603,5.98,Zone-A
MCH-0276,PLT-03,CNC Mill,SIMOTION D,2023-08-26,2024-12-31,Idle,49022,65.24,Zone-C
MCH-0381,PLT-07,Lathe,SINUMERIK 840D,2015-02-08,2017-04-06,Active,43127,53.69,Zone-B
MCH-0430,PLT-06,Lathe,SIMATIC ET200,2022-09-25,2024-05-05,Active,26600,68.34,Zone-B
MCH-0460,PLT-09,Press,SIRIUS 3RW,2022-12-13,2023-04-11,Active,19894,98.2,Zone-A
MCH-0347,PLT-05,Press,SINUMERIK 840D,2022-05-20,2024-02-13,Decommissioned,22686,116.5,Zone-D
MCH-0395,PLT-08,Robotic Arm,Siemens S7-1500,2018-05-15,2019-08-20,Active,43511,92.12,Zone-A
MCH-0335,PLT-07,Inspection Bot,SIRIUS 3RW,2015-12-18,2016-02-18,Active,5786,54.07,Zone-B
MCH-0412,PLT-09,Lathe,SINAMICS G120,2022-10-01,2022-11-30,Decommissioned,49810,100.97,Zone-C
MCH-0117,PLT-03,Lathe,SIRIUS 3RW,2018-02-20,2018-06-25,Under Maintenance,6441,30.5,Zone-B
MCH-0102,PLT-02,Welding Unit,SIMOTION D,2020-08-11,2021-04-21,Active,44281,79.66,Zone-B
MCH-0002,PLT-07,Press,SINAMICS G120,2018-05-20,2019-11-18,Idle,15610,111.56,Zone-A
MCH-0448,PLT-04,Inspection Bot,Siemens S7-1500,2016-12-21,2018-09-28,Active,21228,90.22,Zone-A
MCH-0142,PLT-05,Welding Unit,SINUMERIK 840D,2021-05-08,2021-07-04,Under Maintenance,15496,51.45,Zone-A
MCH-0069,PLT-08,Inspection Bot,SIMOTION D,2020-09-26,2022-05-23,Active,20420,114.55,Zone-A
MCH-0239,PLT-02,Robotic Arm,SIRIUS 3RW,2019-10-15,2020-06-04,Under Maintenance,26825,50.2,Zone-A
MCH-0357,PLT-09,Inspection Bot,SIMATIC ET200,2016-01-06,2018-02-07,Under Maintenance,21676,84.41,Zone-D
MCH-0202,PLT-07,Conveyor,SINUMERIK 840D,2016-12-08,2018-11-03,Active,29717,43.84,Zone-D
MCH-0078,PLT-05,Conveyor,SIMATIC ET200,2021-04-28,2023-05-16,Idle,29200,96.75,Zone-D
MCH-0338,PLT-01,Press,SIMOTION D,2022-07-12,2024-02-20,Idle,48048,41.12,Zone-D
MCH-0247,PLT-01,Inspection Bot,SINAMICS G120,2021-03-13,2022-06-15,Active,46633,21.9,Zone-C
MCH-0226,PLT-10,Lathe,SIRIUS 3RW,2023-11-08,2024-07-20,Active,44934,117.39,Zone-C
MCH-0209,PLT-01,Welding Unit,SIMATIC ET200,2016-10-21,2018-02-22,Idle,28849,89.85,Zone-D
MCH-0028,PLT-01,Welding Unit,SIRIUS 3RW,2023-08-13,2024-12-31,Decommissioned,12401,46.67,Zone-D
MCH-0038,PLT-01,Robotic Arm,SINUMERIK 840D,2022-12-12,2023-10-22,Active,40149,6.37,Zone-B
MCH-0351,PLT-03,Lathe,Siemens S7-1500,2016-06-01,2018-10-07,Active,45516,104.57,Zone-A
MCH-0161,PLT-03,Inspection Bot,SINAMICS G120,2022-06-07,2022-07-13,Under Maintenance,46039,112.31,Zone-C
