log_id,machine_id,technician_id,log_date,issue_type,downtime_hrs,repair_cost_usd,resolved,priority,notes
LOG-0000001,MCH-0353,TECH-0048,2023-08-06,Vibration,4.2,1026.27,True,Medium,Agent every development say quality.
LOG-0000002,MCH-0478,TECH-0079,2022-07-13,Overheating,0.5,60.67,True,Low,Beautiful instead ahead despite measure ago current practice nation determine.
LOG-0000003,MCH-0153,TECH-0180,2023-08-09,Lubrication,1.1,336.23,True,Medium,Everything thank serve civil institution everyone democratic shake bill here.
LOG-0000004,MCH-0409,TECH-0040,2023-07-10,Sensor Failure,3.7,436.3,True,Medium,Suggest page southern role movie win her need.
LOG-0000005,MCH-0412,TECH-0064,2023-04-20,Overheating,0.5,50.23,True,Medium,Peace technology officer relate animal direction eye bag do big everyone.
LOG-0000006,MCH-0038,TECH-0021,2023-09-04,Sensor Failure,4.7,1444.69,True,Low,Class great prove reduce raise author play move.
LOG-0000007,MCH-0488,TECH-0194,2024-04-16,Vibration,1.6,246.77,True,Medium,Clear here writer policy news range successful.
LOG-0000008,MCH-0484,TECH-0017,2022-02-18,Electrical Fault,3.0,639.54,True,Low,Director allow firm environment decision.
LOG-0000009,MCH-0464,TECH-0098,2022-06-30,Vibration,5.1,1041.3,True,High,Then fire pretty how trip learn enter east no enjoy.
LOG-0000010,MCH-0500,TECH-0068,2022-08-22,Overheating,1.6,303.6,True,Low,Investment on gun young catch management sense technology check civil.
LOG-0000011,MCH-0344,TECH-0058,2022-09-01,Lubrication,5.7,1820.17,True,Medium,Others his other life edge network wall quite boy.
LOG-0000012,MCH-0379,TECH-0013,2022-09-04,Electrical Fault,1.6,142.75,True,Medium,Seem shoulder future fall citizen about reveal rest will seven.
LOG-0000013,MCH-0050,TECH-0199,2023-08-30,Overheating,2.4,695.37,True,High,Tree that fear police participant check several much single.
LOG-0000014,MCH-0222,TECH-0002,2023-03-25,Vibration,0.5,51.21,True,Low,Truth out major born guy world southern dream drive note.
LOG-0000015,MCH-0454,TECH-0085,2022-10-18,Sensor Failure,1.3,138.98,True,Medium,Beat magazine attorney set she.
LOG-0000016,MCH-0403,TECH-0004,2023-06-02,Belt Wear,2.4,261.34,True,Medium,Process water close month parent who.
LOG-0000017,MCH-0049,TECH-0152,2023-04-01,Electrical Fault,7.6,1281.44,True,Medium,Sense ready require human public health tonight later easy ask.
LOG-0000018,MCH-0413,TECH-0104,2022-01-08,Belt Wear,15.7,2140.86,True,Low,Open discover detail audience.
LOG-0000019,MCH-0170,TECH-0021,2024-07-18,Lubrication,16.2,2773.08,True,Medium,Arrive attack all form method everything magazine much rich think office.
LOG-0000020,MCH-0438,TECH-0070,2024-01-09,Belt Wear,0.8,127.33,True,Critical,Six space couple best issue interest level.
LOG-0000021,MCH-0240,TECH-0155,2023-06-13,Overheating,0.8,275.85,True,Medium,Pull worker better I fund.
LOG-0000022,MCH-0020,TECH-0032,2022-03-31,Overheating,0.8,219.13,True,Critical,Eat couple large instead everything.
LOG-0000023,MCH-0313,TECH-0144,2022-11-22,Lubrication,3.4,501.97,True,Low,Themselves away space task better present music.
