part_id,supplier_id,machine_id,part_name,stock_qty,unit_cost_usd,last_restocked,reorder_threshold,warehouse_location,lead_time_days
PRT-0000001,SUP-013,MCH-0201,Bearing Assembly,450,405.61,2022-08-13,84,WH-04,1
PRT-0000002,SUP-017,MCH-0344,Safety Relay,203,1082.29,2024-01-06,34,WH-03,38
PRT-0000003,SUP-040,MCH-0486,Servo Motor,107,1065.85,2024-12-30,47,WH-03,39
PRT-0000004,SUP-030,MCH-0050,Bearing Assembly,198,1165.63,2023-02-23,76,WH-03,20
PRT-0000005,SUP-042,MCH-0245,Drive Belt,233,996.07,2024-06-26,93,WH-04,21
PRT-0000006,SUP-013,MCH-0132,Power Supply Unit,83,314.82,2021-02-03,43,WH-04,6
PRT-0000007,SUP-031,MCH-0471,Encoder Disc,196,1456.46,2023-05-03,69,WH-03,24
PRT-0000008,SUP-002,MCH-0185,Bearing Assembly,100,2214.85,2021-11-07,48,WH-02,21
PRT-0000009,SUP-020,MCH-0291,Servo Motor,325,394.65,2024-01-03,60,WH-02,25
PRT-0000010,SUP-022,MCH-0479,Safety Relay,426,204.58,2023-08-14,39,WH-04,44
PRT-0000011,SUP-049,MCH-0357,Encoder Disc,112,1659.58,2023-05-07,92,WH-03,1
PRT-0000012,SUP-025,MCH-0009,Control Board,237,378.38,2021-04-07,41,WH-02,26
PRT-0000013,SUP-048,MCH-0062,Power Supply Unit,284,474.55,2022-09-01,48,WH-01,32
PRT-0000014,SUP-044,MCH-0345,Servo Motor,187,1570.31,2021-10-13,61,WH-01,43
PRT-0000015,SUP-002,MCH-0131,Drive Belt,20,723.37,2021-02-08,30,WH-02,37
PRT-0000016,SUP-007,MCH-0338,Control Board,243,1043.81,2021-09-13,53,WH-04,12
PRT-0000017,SUP-032,MCH-0030,Drive Belt,255,2364.35,2023-02-27,18,WH-04,14
PRT-0000018,SUP-010,MCH-0092,Servo Motor,499,275.39,2021-03-14,98,WH-03,12
PRT-0000019,SUP-022,MCH-0309,Servo Motor,498,1423.82,2023-09-02,32,WH-03,16
PRT-0000020,SUP-041,MCH-0432,Control Board,396,459.85,2023-03-27,29,WH-04,28
PRT-0000021,SUP-046,MCH-0242,Encoder Disc,288,2016.17,2023-02-17,91,WH-01,29
PRT-0000022,SUP-030,MCH-0243,Control Board,276,1019.08,2024-08-28,66,WH-03,1
PRT-0000023,SUP-043,MCH-0264,Proximity Sensor,240,32.2,2024-04-14,52,WH-04,22
PRT-0000024,SUP-029,MCH-0163,Proximity Sensor,266,1562.17,2023-08-18,83,WH-02,40
PRT-0000025,SUP-043,MCH-0133,Hydraulic Seal,377,1956.64,2021-09-16,30,WH-04,23
PRT-0000026,SUP-003,MCH-0417,Bearing Assembly,126,946.97,2024-12-01,10,WH-04,2
PRT-0000027,SUP-041,MCH-0017,Safety Relay,293,194.48,2022-08-06,87,WH-03,36
PRT-0000028,SUP-016,MCH-0477,Drive Belt,165,2442.52,2021-11-29,37,WH-03,14
PRT-0000029,SUP-002,MCH-0297,Servo Motor,21,1956.95,2022-08-03,63,WH-04,10
PRT-0000030,SUP-017,MCH-0079,Encoder Disc,296,1859.2,2021-05-25,87,WH-02,25
PRT-0000031,SUP-036,MCH-0122,Bearing Assembly,95,1592.74,2022-01-12,85,WH-01,42
PRT-0000032,SUP-031,MCH-0249,Hydraulic Seal,159,782.91,2024-05-13,52,WH-04,23
PRT-0000033,SUP-029,MCH-0352,Proximity Sensor,387,1301.28,2023-02-09,74,WH-03,42
PRT-0000034,SUP-032,MCH-0212,Servo Motor,499,508.43,2023-06-30,70,WH-02,1
PRT-0000035,SUP-041,MCH-0204,Power Supply Unit,440,2455.69,2022-07-27,28,WH-01,32
PRT-0000036,SUP-004,MCH-0477,Proximity Sensor,397,709.43,2022-11-07,85,WH-01,7
PRT-0000037,SUP-032,MCH-0012,Hydraulic Seal,19,2326.86,2024-11-14,39,WH-02,17
PRT-0000038,SUP-007,MCH-0257,Power Supply Unit,171,241.29,2024-11-15,31,WH-04,43
PRT-0000039,SUP-025,MCH-0089,Encoder Disc,244,22.16,2021-01-07,22,WH-04,43
PRT-0000040,SUP-036,MCH-0088,Power Supply Unit,419,953.19,2024-08-16,13,WH-02,30
PRT-0000041,SUP-041,MCH-0427,Safety Relay,171,1728.12,2022-06-11,74,WH-02,16
PRT-0000042,SUP-034,MCH-0176,Power Supply Unit,238,1012.78,2021-09-11,83,WH-02,14
PRT-0000043,SUP-028,MCH-0244,Servo Motor,471,1825.83,2023-06-23,64,WH-04,7
PRT-0000044,SUP-029,MCH-0184,Proximity Sensor,209,961.41,2022-12-07,97,WH-02,11
PRT-0000045,SUP-040,MCH-0309,Safety Relay,171,496.45,2022-04-13,15,WH-02,13
PRT-0000046,SUP-022,MCH-0168,Coolant Pump,400,2263.37,2024-10-26,72,WH-01,10
PRT-0000047,SUP-041,MCH-0144,Coolant Pump,391,2467.26,2023-08-06,29,WH-03,9
PRT-0000048,SUP-031,MCH-0261,Coolant Pump,69,226.79,2022-06-29,61,WH-02,41
PRT-0000049,SUP-037,MCH-0486,Hydraulic Seal,285,2392.53,2022-06-16,36,WH-04,37
PRT-0000050,SUP-005,MCH-0267,Safety Relay,326,854.55,2021-11-07,57,WH-01,29
PRT-0000051,SUP-006,MCH-0206,Hydraulic Seal,47,583.63,2023-09-26,16,WH-02,43
PRT-0000052,SUP-036,MCH-0112,Coolant Pump,315,743.0,2024-04-25,48,WH-04,3
PRT-0000053,SUP-047,MCH-0015,Power Supply Unit,496,1307.02,2021-06-30,27,WH-03,24
PRT-0000054,SUP-001,MCH-0262,Encoder Disc,457,719.39,2023-12-05,28,WH-03,29
PRT-0000055,SUP-001,MCH-0198,Proximity Sensor,271,761.0,2022-05-03,59,WH-01,2
PRT-0000056,SUP-039,MCH-0436,Proximity Sensor,46,1884.28,2022-11-06,48,WH-03,14
PRT-0000057,SUP-026,MCH-0126,Bearing Assembly,405,1861.58,2022-07-15,12,WH-03,39
PRT-0000058,SUP-011,MCH-0099,Servo Motor,382,516.66,2022-07-06,14,WH-01,15
PRT-0000059,SUP-030,MCH-0495,Drive Belt,276,887.82,2021-08-12,90,WH-01,22
PRT-0000060,SUP-050,MCH-0486,Hydraulic Seal,139,1008.23,2021-04-21,44,WH-01,20
PRT-0000061,SUP-018,MCH-0407,Coolant Pump,87,1009.19,2024-08-22,61,WH-01,1
PRT-0000062,SUP-029,MCH-0403,Proximity Sensor,212,299.36,2024-12-16,37,WH-02,32
PRT-0000063,SUP-049,MCH-0494,Hydraulic Seal,434,858.95,2023-06-30,60,WH-02,20
PRT-0000064,SUP-032,MCH-0448,Control Board,108,1902.28,2024-03-16,57,WH-02,22
PRT-0000065,SUP-041,MCH-0302,Servo Motor,35,101.16,2022-05-19,45,WH-02,39
PRT-0000066,SUP-025,MCH-0449,Proximity Sensor,165,1443.64,2023-11-19,75,WH-03,15
PRT-0000067,SUP-049,MCH-0283,Power Supply Unit,53,805.79,2022-04-02,26,WH-02,6
PRT-0000068,SUP-040,MCH-0349,Safety Relay,456,12.7,2022-01-01,53,WH-01,38
PRT-0000069,SUP-033,MCH-0260,Proximity Sensor,368,1999.02,2022-06-01,23,WH-02,41
PRT-0000070,SUP-017,MCH-0382,Servo Motor,352,1059.24,2021-01-08,83,WH-04,28
PRT-0000071,SUP-036,MCH-0112,Control Board,29,343.42,2023-12-06,73,WH-04,9
PRT-0000072,SUP-046,MCH-0247,Control Board,394,166.99,2023-08-15,85,WH-02,28
PRT-0000073,SUP-012,MCH-0199,Control Board,31,2018.13,2024-04-19,59,WH-01,13
