batch_id,machine_id,plant_id,start_time,end_time,units_produced,units_defective,defect_rate,product_line,shift,batch_status
BCH-0000001,MCH-0310,PLT-07,2022-05-21 00:09:01,2022-05-21 04:09:01,354,11,0.0318,Drive,Night,Passed
BCH-0000002,MCH-0257,PLT-03,2023-10-11 11:34:19,2023-10-12 02:34:19,110,12,0.1115,Relay,Night,Passed
BCH-0000003,MCH-0022,PLT-08,2023-06-09 19:14:10,2023-06-10 12:14:10,1683,81,0.0483,Drive,Morning,Passed
BCH-0000004,MCH-0356,PLT-07,2023-02-19 07:43:27,2023-02-20 04:43:27,1387,73,0.0533,Relay,Night,Failed
BCH-0000005,MCH-0114,PLT-04,2023-03-12 09:46:54,2023-03-13 01:46:54,1501,16,0.0107,Relay,Morning,Under Review
BCH-0000006,MCH-0129,PLT-01,2022-05-23 17:36:24,2022-05-24 00:36:24,1892,604,0.3197,HMI,Afternoon,Passed
BCH-0000007,MCH-0028,PLT-09,2023-11-23 00:09:00,2023-11-23 13:09:00,983,120,0.1227,Sensor,Morning,Passed
BCH-0000008,MCH-0175,PLT-08,2024-02-11 17:54:23,2024-02-11 20:54:23,178,12,0.07,PLC,Night,Failed
BCH-0000009,MCH-0197,PLT-02,2022-03-26 21:50:38,2022-03-27 09:50:38,1259,125,0.0997,Relay,Afternoon,Passed
BCH-0000010,MCH-0298,PLT-07,2023-07-02 23:37:42,2023-07-03 12:37:42,235,14,0.0612,PLC,Night,Passed
BCH-0000011,MCH-0222,PLT-02,2022-11-10 18:07:29,2022-11-11 17:07:29,284,13,0.0468,Drive,Afternoon,Failed
BCH-0000012,MCH-0067,PLT-03,2022-04-18 08:45:11,2022-04-18 20:45:11,221,23,0.105,Sensor,Night,Passed
BCH-0000013,MCH-0117,PLT-06,2024-05-06 23:08:50,2024-05-07 19:08:50,475,44,0.0944,PLC,Morning,Passed
BCH-0000014,MCH-0369,PLT-09,2024-09-21 15:13:32,2024-09-22 12:13:32,212,18,0.0877,Drive,Night,Passed
BCH-0000015,MCH-0290,PLT-10,2022-02-17 21:28:53,2022-02-18 13:28:53,932,193,0.2075,Sensor,Morning,Passed
BCH-0000016,MCH-0116,PLT-01,2023-06-29 10:09:18,2023-06-30 07:09:18,819,58,0.0713,Relay,Morning,Passed
BCH-0000017,MCH-0007,PLT-05,2023-09-21 22:13:21,2023-09-22 10:13:21,708,103,0.1465,Relay,Afternoon,Passed
BCH-0000018,MCH-0138,PLT-03,2023-01-06 07:10:46,2023-01-06 17:10:46,525,37,0.0714,PLC,Night,Passed
BCH-0000019,MCH-0287,PLT-03,2022-04-13 01:47:32,2022-04-13 21:47:32,1909,70,0.0368,Drive,Afternoon,Passed
BCH-0000020,MCH-0495,PLT-06,2023-04-15 11:02:31,2023-04-15 21:02:31,784,162,0.2067,PLC,Afternoon,Passed
BCH-0000021,MCH-0424,PLT-05,2023-09-01 14:13:45,2023-09-01 18:13:45,271,13,0.0485,HMI,Afternoon,Passed
BCH-0000022,MCH-0074,PLT-04,2023-10-14 05:27:01,2023-10-14 07:27:01,1752,59,0.0337,Drive,Morning,Passed
BCH-0000023,MCH-0238,PLT-02,2023-10-27 02:06:41,2023-10-27 23:06:41,903,39,0.0432,Drive,Night,Failed
BCH-0000024,MCH-0306,PLT-05,2023-08-10 11:17:40,2023-08-11 08:17:40,716,80,0.1127,PLC,Night,Passed
BCH-0000025,MCH-0431,PLT-10,2024-01-24 04:01:58,2024-01-24 06:01:58,938,258,0.2756,HMI,Morning,Passed
BCH-0000026,MCH-0149,PLT-06,2024-12-10 03:19:10,2024-12-10 17:19:10,1973,14,0.0075,Relay,Morning,Failed
BCH-0000027,MCH-0237,PLT-05,2022-11-23 22:57:56,2022-11-24 16:57:56,1969,142,0.0723,HMI,Afternoon,Under Review
BCH-0000028,MCH-0199,PLT-01,2024-10-09 13:44:47,2024-10-10 09:44:47,274,27,0.101,Drive,Morning,Failed
BCH-0000029,MCH-0306,PLT-07,2023-07-21 16:00:23,2023-07-21 17:00:23,1363,124,0.091,Sensor,Morning,Passed
BCH-0000030,MCH-0304,PLT-03,2022-06-04 05:05:35,2022-06-04 10:05:35,907,22,0.0251,Drive,Night,Passed
BCH-0000031,MCH-0104,PLT-04,2024-08-05 18:22:33,2024-08-06 11:22:33,1439,184,0.1283,PLC,Morning,Passed
BCH-0000032,MCH-0235,PLT-04,2023-06-20 13:19:11,2023-06-20 19:19:11,412,70,0.1702,Relay,Afternoon,Failed
BCH-0000033,MCH-0137,PLT-02,2024-08-19 16:25:41,2024-08-20 11:25:41,915,110,0.1208,Relay,Morning,Passed
BCH-0000034,MCH-0079,PLT-09,2023-10-01 08:23:37,2023-10-01 21:23:37,452,40,0.0894,Sensor,Night,Passed
BCH-0000035,MCH-0440,PLT-06,2023-03-28 12:39:49,2023-03-28 15:39:49,1272,125,0.0983,Sensor,Morning,Passed
BCH-0000036,MCH-0269,PLT-09,2024-04-06 15:53:54,2024-04-06 21:53:54,158,17,0.109,Drive,Afternoon,Passed
BCH-0000037,MCH-0016,PLT-01,2024-11-29 01:49:25,2024-11-29 11:49:25,1533,119,0.0781,HMI,Afternoon,Passed
BCH-0000038,MCH-0040,PLT-06,2022-10-04 04:48:34,2022-10-04 19:48:34,1076,256,0.2384,PLC,Morning,Passed
BCH-0000039,MCH-0399,PLT-10,2022-09-20 19:41:59,2022-09-21 12:41:59,1615,123,0.0765,HMI,Morning,Passed
BCH-0000040,MCH-0118,PLT-10,2024-08-03 14:35:02,2024-08-04 02:35:02,1906,93,0.0491,Sensor,Afternoon,Failed
BCH-0000041,MCH-0334,PLT-10,2023-04-13 18:58:58,2023-04-14 03:58:58,1694,29,0.0174,Drive,Morning,Under Review
BCH-0000042,MCH-0417,PLT-07,2023-03-28 03:34:19,2023-03-28 16:34:19,93,5,0.0626,Relay,Afternoon,Under Review
BCH-0000043,MCH-0115,PLT-05,2024-03-12 04:46:39,2024-03-12 22:46:39,387,21,0.0567,Drive,Night,Passed
BCH-0000044,MCH-0234,PLT-05,2024-02-14 08:51:55,2024-02-15 04:51:55,1240,175,0.1416,HMI,Afternoon,Under Review
BCH-0000045,MCH-0234,PLT-01,2023-10-07 09:44:38,2023-10-07 14:44:38,677,33,0.0499,Sensor,Night,Passed
BCH-0000046,MCH-0019,PLT-08,2023-01-12 23:52:12,2023-01-13 04:52:12,183,12,0.0705,Sensor,Afternoon,Passed
BCH-0000047,MCH-0142,PLT-01,2023-11-05 01:04:19,2023-11-05 19:04:19,1820,128,0.0706,Sensor,Morning,Passed
BCH-0000048,MCH-0446,PLT-03,2023-10-09 00:27:51,2023-10-09 08:27:51,929,95,0.1023,Sensor,Night,Passed
BCH-0000049,MCH-0350,PLT-07,2024-01-13 21:10:29,2024-01-14 08:10:29,1189,99,0.084,Drive,Afternoon,Passed
BCH-0000050,MCH-0355,PLT-04,2023-06-21 02:36:18,2023-06-21 11:36:18,1099,102,0.0932,Relay,Night,Passed
BCH-0000051,MCH-0373,PLT-06,2024-03-25 21:25:17,2024-03-26 09:25:17,1705,46,0.027,PLC,Morning,Passed
BCH-0000052,MCH-0400,PLT-01,2024-06-13 21:53:36,2024-06-14 14:53:36,1526,43,0.0285,Sensor,Night,Failed
BCH-0000053,MCH-0367,PLT-05,2022-06-08 17:44:28,2022-06-09 00:44:28,769,68,0.0888,Sensor,Morning,Passed
BCH-0000054,MCH-0102,PLT-04,2023-10-25 20:01:59,2023-10-26 04:01:59,819,86,0.1056,Relay,Night,Under Review
BCH-0000055,MCH-0002,PLT-10,2023-06-14 23:36:29,2023-06-15 15:36:29,368,35,0.0978,Relay,Afternoon,Passed
BCH-0000056,MCH-0235,PLT-04,2024-07-11 06:18:30,2024-07-12 05:18:30,631,45,0.0724,Drive,Night,Passed
BCH-0000057,MCH-0315,PLT-04,2022-06-10 17:19:09,2022-06-11 12:19:09,1809,165,0.0915,Sensor,Afternoon,Under Review
BCH-0000058,MCH-0344,PLT-07,2023-11-07 20:07:28,2023-11-07 21:07:28,1006,26,0.0266,Sensor,Afternoon,Passed
BCH-0000059,MCH-0007,PLT-05,2023-04-19 14:43:49,2023-04-20 10:43:49,846,20,0.0246,Drive,Morning,Passed
BCH-0000060,MCH-0440,PLT-08,2024-11-23 10:32:34,2024-11-24 04:32:34,1777,197,0.111,Drive,Morning,Failed
BCH-0000061,MCH-0481,PLT-09,2023-09-11 15:43:35,2023-09-12 08:43:35,670,71,0.1072,Drive,Morning,Passed
BCH-0000062,MCH-0057,PLT-04,2024-12-09 17:10:23,2024-12-10 01:10:23,657,97,0.1481,Sensor,Night,Failed
BCH-0000063,MCH-0135,PLT-06,2022-07-07 15:05:39,2022-07-08 14:05:39,530,112,0.2129,HMI,Night,Passed
BCH-0000064,MCH-0138,PLT-07,2024-12-18 01:18:50,2024-12-18 18:18:50,1282,240,0.1875,HMI,Morning,Passed
BCH-0000065,MCH-0026,PLT-09,2022-09-07 23:27:50,2022-09-08 15:27:50,73,4,0.0664,PLC,Night,Passed
BCH-0000066,MCH-0078,PLT-07,2024-08-27 06:32:14,2024-08-27 22:32:14,1696,129,0.0764,HMI,Morning,Failed
BCH-0000067,MCH-0176,PLT-05,2024-03-24 12:12:05,2024-03-24 13:12:05,1662,197,0.119,PLC,Night,Passed
BCH-0000068,MCH-0254,PLT-07,2022-08-09 05:01:45,2022-08-10 01:01:45,1428,140,0.0984,Relay,Night,Passed
BCH-0000069,MCH-0073,PLT-07,2024-07-16 22:05:09,2024-07-17 17:05:09,111,8,0.0804,HMI,Afternoon,Passed
BCH-0000070,MCH-0467,PLT-04,2022-03-06 14:05:37,2022-03-06 16:05:37,861,16,0.0186,PLC,Morning,Passed
BCH-0000071,MCH-0143,PLT-04,2024-09-16 16:01:16,2024-09-17 05:01:16,850,116,0.1366,HMI,Afternoon,Passed
BCH-0000072,MCH-0070,PLT-06,2024-08-14 06:22:44,2024-08-15 04:22:44,1805,254,0.1409,Relay,Night,Passed
BCH-0000073,MCH-0067,PLT-06,2024-12-15 16:26:47,2024-12-16 06:26:47,1546,202,0.1307,PLC,Afternoon,Passed
BCH-0000074,MCH-0373,PLT-07,2024-10-02 00:52:22,2024-10-02 16:52:22,1361,17,0.0132,HMI,Afternoon,Passed
BCH-0000075,MCH-0106,PLT-05,2023-12-09 13:33:10,2023-12-09 20:33:10,393,65,0.1671,Relay,Night,Passed
BCH-0000076,MCH-0015,PLT-09,2023-07-01 09:26:40,2023-07-01 23:26:40,320,40,0.126,HMI,Afternoon,Passed
